city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price,details
 ??????,   ?? ?????? ,????,290,0,3,5,3,1,1,1,1,1,1,0,0,1,0,1,0,0,0,150000,"?????? ??????? ????? ????
???? ??????? 
?? ??? ????????? ???? ???? ????? ???? ?????
??? ??? ???? ????? ?????? ??????? ????????? ?????????
????? ?????? ?? : 
????? ?????? / ???? ???? ???? ???? + ???? ???? + ???? ?????? ??? ???? ?????? + ???? ?????? + ..."
 ??????,   ?? ??????? ,???,400,0,5,4,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,90000,"??????? ???? ??? ???? ??? ??????? 
????? ?? ???? ????? ??? ???? 
???? ???? ????? ???? 
???? ????? ???? 
????? ?????? 
5 ???? ??? ???? ?????? ??? ????? 
????? 
????? ???? ????? ???? ??? 
?????? ???? 
?????? ????? ???????? ????? 
?????? ???? ????? 
???..."
 ??????,   ?? ????? ,????,840,0,5,5,2,1,1,1,1,0,1,1,1,0,0,0,1,1,0,150000,"???? ?????

??????? ?? ????? ???? ?????

??????? ???? ????? ?????? ????????

????????? 
????? ?????? ?????? ????

?????? ????? ????? ??? ?? ????? ??????? ???? ??? ????

??? ???? ????? ??????? ?? ??????? ???? ??? 41 ?? ?? ??????? ?????? ???????? ??? ?..."
 ??????,   ?? ?????? ,????,440,0,5,5,2,1,1,1,1,0,0,1,0,1,0,0,1,0,0,90000,???? ??????? ??? ?????? ????? ?? ???? ???? ???? ???? ???? ???? ???? ???? ??? ??? ????? ?????? ????? ???? ?????? ???? ????? ??????? ???? ??????? 0540850810
 ??????,   ?? ?????? ?????? ,???,500,0,5,5,3,1,1,1,1,0,0,1,0,1,0,0,1,0,1,70000,??? ????? ??? ????? ???? ??? ?? ???? ???? ??????? ???????? ????? ???????? ?????? ???? ?????? ????? ???? ?????? ??? ????? ???????..??? ???? ???? ???????
 ??????,   ?? ???????? ,???,900,20,7,5,2,1,1,1,1,0,1,1,0,1,0,0,1,0,0,250000,"?????? ?? ?? ???????? ??? ?????? ???????? ???? ?? ????? ??
?????? ????? ????? ??? ????? ????? ???? ????? ?????
????? ?? ??????? ?????? ????? ?????? ???? ?"
 ??????,   ?? ?????? ,???? ????,377,0,7,5,2,1,1,1,1,0,0,1,0,1,0,0,1,0,1,76000,"?? ?????? ??? ???? ????? ??? ????? ??????????
???? ???? ????? ???? ????? 
??? ??? ???? ??? ??? ???? ??? ??? ???? 
?????? ???????? ???????? ???? ??????
???? ??????? ?? ?????? 
??????? ????????? ??????? 
0552852289"
 ??????,   ?? ????? ,???? ????,750,28,7,5,3,1,1,1,1,0,0,1,1,1,0,0,0,0,1,80000,"???? ??????? ????? ??? ????? 

???? ????? ????? 

???? ?????? ???? ???? 

????????? ??? ???? 
0533332881"
 ??????,   ?? ?????? ,????,250,0,5,5,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,85000,"== ??????? ???? ????? ????? ??? ??????? ????? 

== ?????? ?? ?????? ???? ????? ????? 

==??????? ?????? ??????

===== ????? ?????? ====


== ???? ???? == ???? ???? == ???? ?????? 

== ???? ???? ???? ??? ?????? ?????? 

== ??? ????? ???? ???? ????  

..."
 ??????,   ?? ?????? ,????,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000,"??????? ???? ????? ?? ???? ????? ??? ?????? ?? ??????? ???? ??????? ???????? ???????? ?????????. ?????? ????? ??:



######????? ??????######
??? ????? ???? ???? ????
????
???? ?????
???? ???? (???? ??? ?????? ???? ?????)

######????? ??????######
? ..."
 ??????,   ?? ???????? ,????,339,9,4,5,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,120000,"??????? ???? ??? ???? ??? ?? ????????
???? ????  ?????? ?????? 
????? ???? ???? ?? ? ?????
???? ????? ???? ???? ???? ????? ???? ???? ????? ????? ???? ????
????? ????? 4??? ??? ????? ????? ???? ????
???? ??? ????
????? ?????
??????? ??? ?????
??? ???
..."
 ??????,   ?? ???????? ,????,350,0,3,3,2,1,0,1,1,0,0,1,0,1,0,0,1,0,0,65000,??? ??? ????? ????? ????? ??? ???? ???? ??? ?????? ?????????.....????...???? ????? ???????? ?????
 ??????,   ?? ?????????? ,????,200,10,4,5,2,1,0,1,1,0,1,0,0,0,0,1,1,0,0,90000,"??????? ???? ??? ?????????? ????? 
????? ???? ????? ????? 
????? ????? ???? 
???? ???  ????? 
????? ???? ????? ????? ???? 
????? ?????"
 ??????,   ?? ?????? ,???,220,0,4,5,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,85000,"??????? ???? ????? ????? 
?????? ??? ???? ?????
?????? ??? ?????? 
??????? ?????? // ?????? 
???? ???? + ???? ???? 
???? ?????? + ???? + ?????? 
???? + ????? + ?????? ???? 
//// ????? ?????? ////
???? ??? ??? ( ???? ????? ?????? )
//// ????? /////
??..."
 ??????,   ?? ?????? ,???,900,20,5,5,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,200000,"?????? ???? ??? ???? 
?? ?????? 
???? ????? ?? 
????? ?????? ??????? ???? 
????? ???? ? ???? ???? ? ???? ???? ?? ???? 
???? ???? 

????? ?????? 
??? ??? ??? 
?? ???? 
?? ????? ?? ??????? 

????? ????? ??? ??? 
???? ???????"
 ??????,   ?? ???????? ,???? ????,290,0,7,5,2,1,1,0,1,1,1,1,0,1,0,0,1,0,0,90000,"??????? ???? ????? ??????? ????? ???? ?? ???????? ??????? ???? ???? ????  ????? ?? ?????? ??? ???? ??????? ??? ??????  ???? ???? + ??? + ??????? +?????? ??? ? +??????? ????? ????? ???? ????? + ???? ????? ?? ??????  + ?????? ???????? ??? ? 


 ?? ??? ..."
 ??????,   ?? ???????? ,???,400,18,5,5,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,150000,"????? 18 ???, ?????? ?????? , ???? 20 , ???? , ??? ,??????? ,?????? ????? , ???? , ?????"
 ??????,   ?? ?????? ,???,375,13,5,5,2,1,1,0,1,0,0,1,0,1,0,0,1,0,0,80000,"???? ??????? ???????
????? ??
???? ????? ????? ????? ???? ????? ???? ????? ????? ????? ?????? ?????? ???? ????? ???? ??
???? ? ??? ??? ?????
?????? ???? ????? 
???? ???? ???? ???? ??? ??????
??????? ?????

?"
 ??????,   ?? ???????? ,???,200,5,7,5,2,1,0,0,1,0,1,0,0,0,0,1,1,0,0,50000,"???? ??????? 

?? ????????

??????

??? ????? 

???????? ????? ?????

?????? ????

???? ????? ????? ?????

????? ????? 4 ??? ? ???? 

????? 2 ???? ???? ????


??????? 50000 ????

0568191192
0501690778
0582920639"
 ??????,   ?? ????????? ,????,450,12,7,5,2,1,1,1,1,0,1,0,0,1,0,0,0,0,0,130000,??????? ??? ????? ??????? ???? ????? ????? ?? ????????? ????? ?????? ????? ???? ????? ??? ????? ??????? ????? ??????? ????? ????? ??????? ????? ??????? ???? ???? ???? ????? ????? ????? ????? ?????? ???????
 ??????,   ?? ?????? ,???,360,0,4,4,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,45000,"???? ?????
???? ??? ???? ??????? ?????? ?????? ??? ???? ???  ????? ???? ??? ??"
 ??????,   ?? ???????? ,???,250,0,5,5,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,55000,"????? ???? ???? ????? ??????? ??? ???? ???? ???? ???????? ?????? ???? ??? ?????? ???? ??? ??? ???? ???? ??? ????? ???? ????? ???? ????
????? ???? ????? ???? ??? ??????
???? ???????? ????......"
 ??????,   ?? ?????? ,???,270,0,4,5,2,1,1,1,1,1,1,0,0,1,0,0,1,0,0,100000,"??????? ???? ??? ????

??? ????? ????? ???? ????

??? ??????

????? ??? ????

??????? ???? ???? ?????? 

????? ??....
????? ?????? ??????? ???????

??? ? ???? ????? ?? ? ???? ????
???? ???? ? ???? ? ???? ????? ????
??????? ???? ?????

????? ??????......"
 ??????,   ?? ?????? ,???? ????,350,0,4,4,2,0,0,0,0,0,0,1,0,1,0,0,1,0,1,40000,"???????? ??? ? ?? ??????? ??? ??????  ??? ????? ????? ?? :-?

????? ?????? 
????? ??????? + ???? ???? ?? + ???? + ??????
.
????? ?????? 
?????? ?????+ ???? ??? ?? ????? ???? +????
.
????? ?????? 
???? ????? ?? ??? 
.
?????? ????? ??? ????? ?? ???? ??..."
 ??????,   ?? ???? ,???? ????,400,0,5,5,2,1,1,0,1,0,0,0,0,1,0,0,1,0,1,40000,???? ?????? ??? ??????
 ??????,   ?? ?????? ,????,200,0,4,5,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,120000,"????? ???? ????? ???? ???? ??? ?????? ?????? ?????? ?????? ????? ???? ???? ???????.

????? ??????: ???? ???? ????? ????? ????? ???? ?? ?????? ??? ????? ???? ???? ???? ???? ????. 

????? ?????: ???? ??? ?????? ?? ???? ???? ???? ??? ??????? ????? ???? ..."
 ??????,   ?? ???????? ,????,300,3,4,3,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,110000,"??????? ???? ????? ?? ????????
4 ??? ??? ??? ????? ????? ?????? ??? ???
???? ???? ??????? 
???? ????? ???? ???? ???? ????
???? ????? ????? 3 ?????
????? 110 ???
?????? ??? ???? 0551613918"
 ??????,   ?? ?????? ,???,300,0,5,5,3,1,1,0,1,0,1,1,0,1,0,0,1,0,0,70000,"??? ????? ??? ? ??? ?????? ???? ????? ?????? ??????? .
?????? ???? ???? ????? ???? ??????? 
????? ????? ?????? 
???? ????? ?????
???? ???? ..
????? 
???? ????? ?????? ???????? .
????? ????? ? ??? ???????? ???? ???? ????? 
???? ?????..?????? ????? ???..."
 ??????,   ?? ?????? ,????,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000,"??????? ???? ????? ?? ???? ????? ??? ?????? ?? ??????? ???? ??????? ???????? ???????? ?????????. ?????? ????? ??:



######????? ??????######
??? ????? ???? ???? ????
????
???? ?????
???? ???? (???? ??? ?????? ???? ?????)

######????? ??????######
? ..."
 ??????,   ?? ???????? ,???,300,5,5,5,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,45000,"????? ???? ??? ????? ?? ???????? ????? 300 ??? 
????? ?????? ????? ??
 ???? ????? ? ??? ? ???? ???? ?? ???? ???? ? ???? 
? ???? ? ???? ? ???? 
????? ????? ????? ??
 ???? ? ???? ??? ??? ????  ????? 
???? 20 ???? ?????? ????? ?? ??????? ? ??????? 
????..."
 ??????,   ?? ?????? ,????,300,0,7,5,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,125000,???? ????? ????? ?? ?? ?????? ????? ?? ???? - ???? ???? - ???? - ? ??? ??? -  ???? ???? - ???? ????? - ???? ???? ??????? -???? ???? - ???? ????? - ????? ?????? ??? ?????? ????? ????? - ????? ???? ?? ????? ?????? ???????? - ????? ?? ?????? ??????? - ?...
 ??????,   ?? ???????? ,???,250,0,5,5,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,55000,"???? ???????     ?? ??????  ?????   ?? ??? ??? ??????  ??? ???? ?? ?????? ??????? ?????? 
?????? ??? ???? ??
?? ???????? ??????? 
????? ?? ??? ???? 
???? 
?????
? ???? ???? 
???? 
????? 
??? ???? ????? ?? 
? ??? ????? 
? ??? ???? 
????? ???? 
????? 
..."
 ??????,   ?? ?????????? ,???,375,10,4,5,3,1,1,1,1,0,1,0,1,1,1,1,1,0,0,110000,"???? ??????? ??? ?? ??? ?? ?????? ????? ???? ???? ??? ?????? ????  ??????? 

??????? ????? ????? ?????? 

????? ?????? ???? - ???? ???? - ????? ????? ??????? ???? ????? ???? ????? ????? ????? 

?????? ?????? ???? ??? ??? ??????? ???? 

????? ?????? ?..."
 ??????,   ?? ?????? ,????,300,0,4,4,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,45000,"??? ????? ?????? ?????? ???? ???? ???? 
???? ? ?????? ????? ???? ???? 
????? ????? 
?????? ????? ???? 
????? ????? ?????"
 ??????,   ?? ???????? ,????,312,0,3,4,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,65000,"?????????????
???? ??? ??????
??????? ????
?? ??? ??? ????
???? ???? ????..
??????? ??? ?
?????? ?? ??????
??????? ?? ??? ?????.."
 ??????,   ?? ?????? ,????,312,0,5,5,5,0,1,1,1,1,0,1,1,1,0,0,1,0,0,50000,"???? ????? ??? ????? 
??????? ??? ???? ???? ????? ?????? ??? ?????..
??? ????? ??? ??? ? ???? 
???? ???? ???? ..
?? ????? ???? ???? ???????...
55 ??? ?????? 
50 ??? ???? ????? 
????? ???? ??????? ?????? 
????? ???????
??? ???? .....
???? ???????? ???..."
 ??????,   ?? ?????? ,???,300,0,3,5,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,40000,"???? ??? ???? ????? ????? ??????

???? ??????? ????????
??? ????? ????? ??? 
? ??? ??? ????? ????? ????? ???? ???? ???? ???? ????? ????? 
????? ???


???? ??? ??? ????? ?? ???? ????? ???? ?????? ???? ???? 4??? ??? ?????? ??????
???? ???? ????? ????? ..."
 ??????,   ?? ?????? ,????,400,0,5,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,100000,"??? ????? ??? ????? ????? ?????? ????? ??? ????? ???????? ???? ???? ????? ???? ?????? ????? ????? ???? ????? ??????? ????? ???? ????? ????? ????? ?????? ???? ????? ?? ???? ?? ???? ???? 
???????? ??????? ????
??????? ?? ????? ?????? ?????? 
????? ? ??..."
 ??????,   ?? ???????? ,???,250,0,5,5,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,55000,"????? ???? ??? ????? ????? ????? ????? ???? ???? ?????? ???
????? ?????? ????? ?? ???? ????? ? ??? ? ???? ???? ? ???? ? ???? ????? ? ???? ? ????? ???? ???? ???? ? ???? ????? ???? ????? ????? ????? ?? ???? ??? ??? ???? ????? ????? ? ???? ???? ????? ??..."
 ??????,   ?? ???????? ,???,250,0,5,5,2,0,1,1,0,0,0,1,0,0,0,1,1,0,0,55000,"????? ???? ?? ???????? ????? ??? ??? ??? ????? ????? ?? ???
????
???? ????
????
???? ???? ??
???? 
??? ?????? ???? ??? ??? 
???? ???? ??? ????? 
????
????? ???? ????
????? ???? ????? 
????
???
?????? ??????? ???? ?? ???"
 ??????,   ?? ?????? ,???? ????,327,10,4,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,100000,"??????? ???? ??? ?????? ?????? ????? 327?
????? ?????? ????? ????? 15???
??? ??????? ???? 
???? ????? ????? 
???? ???? 
???? ????? 
????? ????? ???? 
4??? ??? ????? 
????? ???? ????? ????? ???? 
??? ?????? 
???? ????
????? 100???"
 ??????,   ?? ?????? ,????,336,0,5,5,2,1,1,1,1,0,1,0,1,1,0,0,0,1,0,140000,"??? ??????? ?????? ??? ???? ???? ? ???? ???? ????? ????? ????? ????? ???? ???? ???? ??? ???? ???? ????? ????? ????? ??????? ???
??????? ??????
????? ? ???
?????? ??? ????
0568811135 ????"
 ??????,   ?? ?????? ,???,325,7,5,5,4,1,1,0,1,0,1,1,0,1,0,0,1,0,0,90000,"???? ??????? ?? ?? ??????

??????: ???? + ???? + ???? + ???? ???? + ???? + ????   
?????: 5??? ??? + 3??? ??? ?????+ ?????? ??? ????? ???? + ???? ?????

??????: ???? ????? + ??? 

?????

0556118008  

???? ??????

0535747576


   &&???? ??? ??????? ?..."
 ??????,   ?? ???????? ,????,325,2,4,4,2,0,1,1,1,0,0,1,0,0,0,0,1,0,0,50000,"????? 
????? ?? ???? ???????"
 ??????,   ?? ???????? ,????,312,9,6,5,2,1,1,0,0,0,1,0,0,1,0,0,1,0,0,85000,"??? ?????? ??? ? ???????
??? ???? ??????? ???? ????? ????? 
? ?????? ????? ???? ???? ?? ????
??? ????
?????? ????? ???? ?? ??? ?????? ?????????
???? ?? ?????? ????? ????
????? ??? ????
???? ????? ???????"
 ??????,   ?? ???? ??? ,???? ????,500,8,7,5,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,50000,"??????? ??? ?? ??? ??? ???? ?? ????? ??? ?????? 20?
????? ?????? ????? ?? ???? ????? ????? ??????? ????? ??????? ????
?????? ?????? ?????? ????? ???? ( ????? ??? ??? ????? ????? ??????? ????? ????? ?????? ? ??? ?? ?????? ???? + ???????? ??????? ?????..."
 ??????,   ?? ?????? ,????,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000,"??????? ???? ????? ?? ???? ????? ??? ?????? ?? ??????? ???? ??????? ???????? ???????? ?????????. ?????? ????? ??:



######????? ??????######
??? ????? ???? ???? ????
????
???? ?????
???? ???? (???? ??? ?????? ???? ?????)

######????? ??????######
? ..."
 ??????,   ?? ?????? ,????,352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000,"????? ?????? (???? ??? ???? ????? )
======================


???? ????? ???????( ??? ??????? ) ??????? :
==========================

      ???? (??? ???????) ????? ??????? ????? ??????? ?? ???? ????? ??????? ?????? ?????? ???? ????? .

?????? ?????? ..."
 ??????,   ?? ?????? ,???? ????,450,0,5,4,3,1,1,1,0,0,1,1,0,1,1,0,1,0,0,110000,"??????? ???? ??? ???? ?? ?? ?????? 
???? ????? 
???? ?? ? ???? ????? 
???? ???? 
???? ???? ????? ???? 
????? ????? ?????
???? ???? ???? 
???? ???? ????? ???? 
????? ????? ???? ???? ????? 
?????
?????? ????? ???? 
???? ????? 
????? ???? ??? ??????
???..."
 ??????,   ?? ?????? ,????,600,4,5,5,3,1,1,1,1,0,1,1,0,1,0,0,0,0,0,180000,"??????? ???? ?????? vip ?? ???? ??????????? ?? ????? ?????? ???? ???? ????? ???? ???? ???? ???? ????? ??? ????
???? ? ???? ? ???? ????? ? ???? ? ????? ???? 
????? ????? ???? ?? ? ????? ????? ????? ? ? ????? ???? 
????? ?????? ???? ?? ?????? ? ???? ? ..."
 ??????,   ?? ?????? ,????,500,27,5,5,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,115000,?? ?????? ???? ???? ?????? ?????
 ??????,   ?? ???? ,???,360,0,6,3,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,40000,"??????? ???  
????? ????? ?? ??? ??? ????? ????? ?? ???  
??? ??????? ???? ???? ?????? ???? ????? ????? ????? ????? ????? ?? ???? ???? ??? ?? ???
?????? ??? ???? 
??????? ???? ?? ?? ????? 
??????????
???? ???? ????????? ???????? ??
???? ?????? ?? ???..."
 ??????,   ?? ?????? ,???,400,10,3,4,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,80000,"???? ??????? ?? ????? ????? ????? ??? ????? ????? ????????? ????? ??????? ????? ?????? ?????? ??? ????????? ????????
????? ??? ??????? ?????? ?????? 160??? . 
????? ??????? ????????? ??????? ?? ??????? ??????? 
??????? 
0530005055?????.              ..."
 ??????,   ?? ?????? ,???? ????,450,0,5,5,3,1,1,1,1,0,1,1,0,1,0,0,1,0,0,110000,"??????? ???? ??? ???? ?? ?? ?????? 
???? ????? 
???? ?? ? ???? ????? 
???? ???? 
???? ???? ????? ???? 
????? ????? ?????
???? ???? ???? 
???? ???? ????? ???? 
????? ????? ???? ???? ????? 
?????
?????? ????? ???? 
???? ????? 
????? ???? ??? ??????
???..."
 ??????,   ?? ???????? ,???,200,2,7,5,2,1,1,0,1,0,0,0,0,0,0,1,1,0,0,65000,"???? ??????? ???? ????? ??? ????? 
?? ???????? ???? 37 
????? ?? ???? ??????? 
????? ????? 
???? ????? 
???? ???? ???? + 2 ???? ???? 
???? + ?????? + ??? ???? 
?????? 
4 ??? ??? + ???? + 3 ????? ???? 
????? ?????? 
4 ??? ??? + ?????? ???? + ???? 
???..."
 ??????,   ?? ?????? ,????,352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000,"????? ?????? ??????? ???????
==================


???? ????? ???????( ??? ??????? ) ??????? :
==========================

      ???? (??? ???????) ????? ??????? ????? ??????? ?? ???? ????? ??????? ?????? ?????? ???? ????? .

?????? ?????? ?? ( 3 ????..."
 ??????,   ?? ?????? ,????,200,3,5,5,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,85000,??? ??????? ?? ?? ?????? ???? ?????? ????? ????? ?????? ???? ????? ????? ????? ????? ??????? ? ??? ??? ?????? ?????? ????? ????? ?????  ? ?? ??? ??????
 ??????,   ?? ?????? ,???,375,0,4,5,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,110000,??? ?????? ??????? ?? ?? ?????? ??????? ??? ????? ????? ???? ???? ??? ?????? ???? ???? ?? ????? ???? ????? ???? ????? ???? ????? ????? ??????? ? ??? ?????? ???? ????? ??????? ????? ???? ???? ????? ???? ???? ?? ?????? ????????? ????? ??????? ???? ? ??...
 ??????,   ?? ??????? ,???? ????,650,5,7,5,3,1,1,0,1,0,1,1,1,1,1,0,1,0,1,120000,"???? ???? ?????? 
?? ??????? - ????

?????? ????? ?? : ????? ?????? 
???? ????? + ??? + ? ???? ??? + ????? ?? ???? ????? + ???? 
????
????
??????
???? ???
?????? ???
? ????? ????

????? ?????? ????? ?? ??? ????
???? 
???? ????? ????
? ??? ???
? ?????..."
 ??????,   ?? ????????? ,???? ????,900,4,5,5,5,1,1,1,1,0,0,1,1,1,0,0,1,0,0,300000,"???? ??????? ?? ?? ????????? ??????? 1600 ??? ??? ?????? ??????? ???? ???? ? 8 ?????? ???????? 
????  ????? ??????? ??? ?? ???? ????? ???????? 
?????? ?????"
 ??????,   ?? ???????? ,????,360,2,4,3,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,55000,????  ???????  ??? ?????  ??? ?????   ???  ? ??? ???  ??? ????? ????
 ??????,   ?? ?????? ,???,330,10,5,5,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,79000,"???? ?????? ????? ???? ??? ???? ?????? ???? ??????? ?????? - ?? ??????.
????? ?? ??????? ???????? ???????? ???????? ???????? ???????? ?????????.
???? ???? ??????? ?? ?????? ???? ???? ??? ?????? ?????.
???? ????? ??? ??????.
???? (10) ?????? ?????.
??..."
 ??????,   ?? ???????? ,???,500,0,5,4,2,1,1,0,1,0,0,0,0,1,0,0,1,0,0,35000,"??? ??????? ?????????? 
????? ???? ????? ??? ???? 
???? + ???? + ???? + ???? ???? + ???? + ?????? ???? 
????? ?????? 
? ??? ??? + ???? ????? ????? ???? ?????? 
? ????? ????

????????? ??????? ??? ???  0550783876"
 ??????,   ?? ?????? ,????,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000,"??????? ???? ????? ?? ???? ????? ??? ?????? ?? ??????? ???? ??????? ???????? ???????? ?????????. ?????? ????? ??:



######????? ??????######
??? ????? ???? ???? ????
????
???? ?????
???? ???? (???? ??? ?????? ???? ?????)

######????? ??????######
? ..."
 ??????,   ?? ????? ,????,325,12,5,4,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,50000,"??????? ??? ??? ????? ?????? ????? ??? 
 ????????? ???? 0569665214"
 ??????,   ?? ?????? ,???,310,0,7,4,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,56000,"???? ????? ?? ?? ?????? ??????? 
?? ?????? - ????

?????? ????? ?? :
????? ???? ???? ????? + ??? + ???? ????? + ???
????
????
????
????
?????? ????

????? ??????
? ??? ??? 
???? ???? 
???? ??? ?????
???? ???? ??? ???????

?????
??? ????

?? ???? ????..."
 ??????,   ?? ?????????? ,???,220,9,4,4,3,1,1,0,1,0,1,0,0,1,0,1,1,0,0,90000,???? ??????? ?? ?? ?????????? ??? ???? ?????? ????? ???? ????? ????? ????
 ??????,   ?? ????? ???? ,???,250,15,7,5,2,1,0,0,1,0,1,0,0,1,0,1,1,0,0,40000,"???? ??? ????? 

????+ ???? + ??????+ ? ??? ???+ ? ????? ????+ ????+ ???? ????? ?? ???? ????+ ???+???

???? ???? 
??????? ????? 

?????? ???? ?????? ???? ??????? 

??????? 
??????????"
 ??????,   ?? ?????? ,???,200,3,5,5,5,1,1,1,1,0,0,1,1,1,0,0,1,0,0,85000,"???? ??????? ??? ?
???? ???? ???? ???? ??? ???
??????? ??????
???????
???? ???? ?????? ???? ????? ??? ???? ???? ? ?????? ??????

???? ???? ????

??????? ?? ???"
